time,x,y,heading, flSteer, frSteer, blSteer, brSteer, flDrive, frDrive, blDrive, brDrive, rawGyro, rawAccelX, rawAccelY, yaw, pivot pos, ext pos, cube x, cube y, cube deg
171812144,46.4,19.5,0,0.439434,178.33,-3.42768,-178.594,2.76073,-3.32066,3.81836,-3.82614,0.15213,-0.0162964,0.0384521,-11.48,24.1586,0.0121118,5,70.4338,0,
171857823,46.4,19.5,0,0.439434,178.506,-3.33979,-178.594,2.76073,-3.32066,3.81836,-3.82614,-0.15213,-0.0219727,0.0307617,0,24.1586,0.0121118,5,70.4338,0,
171911946,46.4,19.5,0,0.439434,178.418,-3.51558,-178.594,2.76073,-3.32066,3.81836,-3.82614,-0,-0.0261841,0.0300293,0,24.1586,0.0121118,5,70.4338,0,
171966660,46.3999,19.5,0,2.72459,176.748,-4.92183,-175.342,2.75296,-3.32066,3.81836,-3.83392,-0.760651,-0.0598755,0.40741,0,24.1586,0.0121118,5,70.4338,0,
172023947,46.3978,19.5527,-0.03,27.4219,155.743,-24.6093,-148.799,2.36412,-3.56951,3.46064,-4.1061,3.65112,-0.557739,0.0739746,0.03,24.1586,0.0121118,5,70.4338,0,
172078604,46.3541,19.6261,-0.53,52.207,130.254,-48.164,-124.98,1.2676,-3.47619,3.25844,-5.1093,37.1198,-0.749451,-0.194092,0.53,24.1586,0.0121118,5,70.4338,0,
172135337,46.3027,19.6928,-1.5,53.6133,122.784,-50.0976,-121.025,0.808778,-3.71727,2.72185,-5.54479,68.4586,-0.371521,-0.123962,1.9,24.1586,0.0121118,5,70.4338,0,
172180936,46.3323,19.7886,-3.21,48.9551,122.784,-45.0878,-123.838,0.0622137,-4.2072,2.08416,-6.05806,74.6959,0.0272827,-0.450623,3.21,24.1586,0.0121118,5,70.4338,0,
172230759,46.3936,19.9321,-4.67,47.9004,122.871,-43.4179,-123.838,-0.855438,-4.72824,1.34537,-6.55577,89.1483,-0.615967,-0.363098,4.67,24.1586,0.0121118,5,70.4338,0,
172281419,46.4733,20.1292,-6.42,47.9004,122.432,-43.1542,-123.75,-1.9364,-5.3426,0.373282,-7.06903,99.0367,-0.172668,-0.572205,6.42,24.1586,0.0121118,5,70.4338,0,
172332363,46.5329,20.3649,-8.42,47.6367,121.377,-42.8906,-123.311,-2.90849,-5.94918,-0.793224,-7.4812,126.724,0.151062,-0.456116,9.15,24.1586,0.0121118,5,70.4338,0,
172378671,46.6852,20.6312,-11.41,47.6367,121.289,-42.6269,-120.762,-4.39384,-6.85128,-2.12304,-8.15777,131.745,-0.269531,-1.03876,11.41,24.1586,0.0121118,5,70.4338,0,
172428151,46.8603,21.0353,-13.93,46.9336,119.707,-41.2207,-117.773,-6.07361,-7.7145,-3.85725,-8.77213,153.651,-0.969543,-1.75507,13.93,24.1586,0.0121118,5,70.4338,0,
172481049,47.1279,21.5259,-17.19,45.1758,119.092,-39.375,-116.016,-8.44551,-8.92766,-5.91808,-9.87642,204.463,0.344238,-0.844482,18.41,24.1586,0.0121118,5,70.4338,0,
172546647,47.2694,22.255,-24.23,42.7148,119.092,-39.1992,-111.533,-10.8407,-10.2186,-8.95877,-11.5018,276.42,-0.197388,-0.219727,24.23,24.2229,0.0121118,5,70.4338,0,
172591428,47.6398,23.0272,-27.84,41.1328,119.092,-39.1992,-109.424,-13.7414,-11.6806,-12.085,-12.9249,337.12,-0.264221,-0.0184937,29.8,24.373,0.0121118,5,70.4338,0,
172642431,47.9892,24.0426,-36.59,38.4082,114.961,-39.1992,-103.447,-16.9299,-13.3215,-15.7867,-15.4212,428.551,-0.37262,-1.12848,39.12,24.5659,0.0121118,5,70.4338,0,
172707765,48.7298,25.5471,-47.37,33.8379,105.293,-39.1992,-98.5254,-21.1604,-15.9189,-20.9816,-19.4651,487.729,-0.79303,-1.45166,50.25,24.9732,0.0121118,5,70.4338,0,
172751823,49.7577,26.919,-56.14,28.2129,101.25,-38.9355,-96.9434,-24.9788,-17.3498,-25.7254,-21.977,493.967,-0.550049,-1.6073,59.09,25.4234,0.0121118,5,70.4338,0,
172823545,51.6471,29.2712,-71.06,15.6445,92.6371,-42.3632,-92.5488,-30.3525,-19.1618,-32.9344,-26.8297,487.881,-0.528259,-0.839722,74.03,25.9807,0.0121118,5,70.4338,0,
172875447,53.5121,31.3656,-82.68,4.83397,77.7835,-47.9003,-87.8906,-34.8474,-20.0173,-38.3625,-31.379,464.453,-0.137329,-1.05304,82.68,26.4523,0.0121118,5,70.4338,0,
172933096,55.0651,33.539,-90.64,-7.47072,74.18,-54.7558,-88.0664,-37.6782,-19.9861,-43.884,-35.2363,397.364,0.067749,-0.108032,93.1,27.074,0.0121118,5,70.4338,0,
173002299,57.2446,36.7801,-100.21,-38.6719,82.5296,-65.7421,-89.7363,-42.2431,-19.5818,-50.5719,-40.19,346.248,0.75,0.625854,104.52,27.6313,0.0121118,5,70.4338,0,
173049310,58.8939,40.0247,-108.34,-62.666,86.5726,-80.7714,-90.8789,-45.1127,-18.3142,-56.8322,-44.5917,259.534,1.15594,3.06006,109.97,28.2101,0.0121118,378.057,777.244,25.7553,
