time,xPos,yPos,yaw,xVel,yVel,yawRate,xAccel,yAccel,yawAccel
0,232.25,240,0,0,0,0,91.779,39.707,0
0.04,232.32,240.03,0.71429,3.6712,1.5883,17.857,91.779,39.707,0
0.08,232.54,240.13,1.4286,7.3423,3.1765,17.857,91.779,39.707,0
0.12,232.91,240.29,2.1429,11.013,4.7648,17.857,91.779,39.707,0
0.16,233.42,240.51,2.8571,14.685,6.3531,17.857,91.779,39.707,0
0.2,234.09,240.79,3.5714,18.356,7.9413,17.857,91.779,39.707,0
0.24,234.89,241.14,4.2857,22.027,9.5296,17.857,91.779,39.707,0
0.28,235.85,241.56,5,25.698,11.118,17.857,91.779,39.707,0
0.32,236.95,242.03,5.7143,29.369,12.706,17.857,91.779,39.707,0
0.36,238.2,242.57,6.4286,33.04,14.294,17.857,91.779,39.707,0
0.4,239.59,243.18,7.1429,36.712,15.883,17.857,91.779,39.707,0
0.44,241.12,243.87,7.8571,39.3,19.787,17.857,89.317,44.971,0
0.48,242.7,244.82,8.5714,39.454,27.338,17.857,82.197,56.953,0
0.52,244.25,246.08,9.2857,37.379,36.15,17.857,71.882,69.519,0
0.56,245.69,247.69,10,33.414,44.939,17.857,59.668,80.248,0
0.6,246.93,249.64,10.769,27.527,53.313,19.231,45.878,88.855,0
0.64,247.86,251.94,11.538,18.339,61.316,19.231,28.655,95.807,0
0.68,248.37,254.52,12.308,7.1014,67.628,19.231,10.443,99.453,0
0.72,248.43,257.32,13.077,0,72,19.231,0,100,0
0.76,248.43,260.28,13.846,0,76,19.231,0,100,0
0.8,248.43,263.28,14.615,0,74.06,19.231,-0,-300,0
0.84,248.43,266.01,15.385,0,62.06,19.231,-0,-300,0
0.88,248.43,268.25,16.154,0,50.06,19.231,-0,-300,0
0.92,248.43,270.01,16.923,0,38.06,19.231,-0,-300,0
0.96,248.43,271.29,17.692,0,26.06,19.231,-0,-300,0
1,248.43,272.1,18.462,0,14.06,19.231,-0,-300,0
1.04,248.43,272.42,19.231,0,2.0604,19.231,-0,-300,0
1.0469,248.43,272.5,20,0,0,0,-0,-300,0
