time,x,y,heading, flSteer, frSteer, blSteer, brSteer, flDrive, frDrive, blDrive, brDrive, rawGyro, rawAccelX, rawAccelY, yaw, pivot pos, ext pos, cube x, cube y, cube deg
410763271,46.4,19.5,0,175.693,-1.4938,-2.63667,178.242,-9.06764,9.3165,8.97432,-9.5498,0.15213,-0.0584106,0.0818481,-1.68,20.6431,0.0899732,5,70.4338,0,
410812686,46.4,19.5,0,175.693,-1.4938,-2.63667,178.242,-9.06764,9.3165,8.97432,-9.5498,-0.912781,-0.0146484,0.0756226,0,20.6431,0.0899732,5,70.4338,0,
410836431,46.4,19.5,0,175.693,-1.58169,-2.63667,178.242,-9.06764,9.3165,8.97432,-9.5498,-0,-0.0395508,0.0928345,0,20.7931,0.131499,5,70.4338,0,
410876837,46.4,19.5,0.12,175.781,-1.4938,-2.54878,178.242,-9.06764,9.3165,8.97432,-9.5498,-22.8195,0.81189,0.716309,-0.12,23.3655,0.420452,5,70.4338,0,
410912522,46.4,19.5,0.14,175.693,-1.4938,-2.63667,178.242,-9.06764,9.3165,8.97432,-9.5498,21.1461,0.0611572,0.249939,-0.04,24.2872,0.828791,5,70.4338,0,
410943217,46.4,19.5,0,175.693,-1.4938,-2.63667,178.242,-9.06764,9.3165,8.97432,-9.5498,-3.0426,0.188782,-0.196838,-0.02,24.5659,1.14716,5,70.4338,0,
410976882,46.4,19.5,0,175.693,-1.58169,-2.54878,178.242,-9.06764,9.3165,8.97432,-9.5498,1.97769,-0.156555,0.178711,0.01,24.7588,1.68873,5,70.4338,0,
411010778,46.4,19.5,0,175.693,-1.4938,-2.63667,178.242,-9.06764,9.3165,8.97432,-9.5498,1.36917,-0.133667,-0.257812,0,24.7803,2.32027,5,70.4338,0,
411033080,46.4,19.5,-0.03,175.693,-1.58169,-2.63667,178.242,-9.06764,9.3165,8.97432,-9.5498,-3.49899,0.665771,0.268982,0.05,24.7803,2.87914,5,70.4338,0,
411066636,46.4001,19.5,-0.07,175.693,-1.4938,-2.54878,178.242,-9.07542,9.3165,8.96655,-9.5498,4.25964,-0.255432,-0.197021,0.11,25.1447,3.73043,5,70.4338,0,
411100738,46.4005,19.4942,-0.12,175.693,-1.4938,-2.72456,178.242,-9.09875,9.30872,8.95877,-9.56535,4.5639,-0.246826,-0.098877,0.12,25.4019,4.57133,5,70.4338,0,
411134771,46.3994,19.5389,-0.14,176.572,-1.4938,-1.49409,178.242,-9.09097,9.12986,8.95099,-9.58091,2.12982,-0.103088,-0.0866089,0.14,25.4019,5.40531,5,70.4338,0,
411164586,46.3983,19.5816,-0.14,177.451,-1.58169,-1.14253,178.242,-9.09097,9.00543,8.91211,-9.57313,-2.73834,-0.112244,-0.0375366,0.12,25.4019,6.15797,5,70.4338,0,
411203493,46.3926,19.7993,-0.07,177.978,-1.58169,-1.05464,178.242,-8.91989,8.81879,8.67881,-9.29317,-0.608521,-0.407227,0.170105,0.05,25.4234,6.84661,5,70.4338,0,
411235626,46.3863,20.0384,-0.01,177.978,-1.4938,-0.966747,178.242,-8.67881,8.81879,8.32108,-8.93544,-1.97769,-0.240417,0.11792,0.01,25.4234,7.4349,5,70.4338,0,
411264682,46.3838,20.1141,1.3977e-17,177.978,-1.4938,-0.966747,178.242,-8.42218,8.81101,8.2822,-8.93544,3.0426,0.206543,-0.0448608,0,25.4234,7.9609,5,70.4338,0,
411300283,46.3832,20.1355,-0.01,177.978,-1.58169,-0.878856,178.242,-8.4144,8.75658,8.26664,-8.92766,1.06491,-0.359436,0.449341,0.01,25.4234,8.49554,5,70.4338,0,
411336695,46.3814,20.2055,0.01,177.978,-1.4938,-0.878856,178.242,-8.35219,8.70992,8.1811,-8.84212,3.65112,-0.0618896,-0.151428,0,25.4234,8.86582,5,70.4338,0,
411374956,46.3801,20.2502,-0.01,177.978,-1.4938,-0.878856,178.242,-8.27442,8.65548,8.15777,-8.81879,1.06491,-0.322998,0.200317,0.01,25.4234,9.64789,5,70.4338,0,
411418467,46.377,20.3687,-0.02,177.978,-1.58169,-0.878856,178.242,-8.19665,8.55438,8.01001,-8.67103,1.36917,-0.218445,-0.387268,0.02,25.4234,10.1704,5,70.4338,0,
411455156,46.3753,20.429,-0.03,177.978,-1.58169,-0.878856,178.154,-8.11889,8.49994,7.96335,-8.60882,0.760651,0.0452271,-0.203979,0.03,25.4234,10.9231,5,70.4338,0,
411487559,46.3706,20.6117,-0.05,177.978,-1.4938,-0.790966,178.066,-7.93224,8.32108,7.76893,-8.43773,0.45639,0.0600586,-0.778931,0.05,25.4234,11.5391,5,70.4338,0,
411532529,46.3603,20.9828,-0.03,177.978,-1.4938,-0.790966,177.891,-7.57452,7.9478,7.41121,-8.04112,-1.5213,0.0444946,-0.588501,0.02,25.4234,12.3748,5,70.4338,0,
411566405,46.3478,21.4395,-0.01,177.978,-1.4938,-0.703075,177.891,-7.11569,7.49675,6.9446,-7.59007,3.49899,-0.223572,-0.316223,0.01,25.4234,12.97,5,70.4338,0,
411612047,46.3304,22.0769,-0.05,177.978,-1.4938,-0.703075,177.803,-6.46245,6.84351,6.33024,-6.96016,1.21704,0.370422,-1.03784,0.05,25.4234,13.733,5,70.4338,0,
411631489,46.3207,22.4384,-0.07,177.978,-1.4938,-0.790966,177.803,-6.09694,6.478,5.94918,-6.62576,2.12982,-0.106384,-0.515442,0.07,25.4234,13.9147,5,70.4338,0,
411666887,46.2977,23.3382,-0.13,177.978,-1.4938,-0.703075,177.803,-5.15596,5.59145,5.02376,-5.7781,8.82355,0.381775,-0.940979,0.16,25.2947,14.7002,5,70.4338,0,
411716506,46.2708,24.4635,-0.24,177.978,-1.4938,-0.703075,177.803,-4.01278,4.45606,3.91946,-4.65825,5.78094,-0.188232,-0.939514,0.26,25.2733,15.4979,5,70.4338,0,
411761633,46.2423,25.7638,-0.34,177.978,-1.4938,-0.703075,177.803,-2.65964,3.14957,2.6052,-3.42953,4.25964,-0.317139,-0.741943,0.37,25.2733,16.2851,5,70.4338,0,
411787059,46.211,27.2876,-0.4,177.978,-1.4938,-0.615184,177.803,-1.14318,1.58645,1.07319,-1.94418,8.0629,0.179626,-0.863892,0.44,25.2733,16.6658,5,70.4338,0,
411820341,46.1868,28.5627,-0.49,177.978,-1.4938,-0.615184,177.803,0.147758,0.256631,-0.194418,-0.731011,10.0406,-0.360535,-0.702026,0.54,25.2733,17.2472,5,70.4338,0,
411856622,46.1632,30.1664,-0.67,177.978,-1.4938,-0.615184,177.715,1.55534,-1.57867,-2.06083,0.575477,10.9534,-0.113525,0.0130005,0.67,25.2733,17.8476,5,70.4338,0,
411900335,46.1345,31.9566,-0.77,177.978,-1.4938,-0.615184,177.715,3.63172,-3.08735,-3.58506,2.62853,2.73834,-0.326294,-1.10632,0.81,25.2733,18.5985,5,70.4338,0,
411938688,46.1017,34.787,-0.92,177.978,-1.4938,-0.527294,177.715,6.54799,-5.95696,-6.36135,5.38926,4.86816,0.311096,-0.730042,0.97,25.2733,19.1868,5,70.4338,0,
411975061,46.0868,36.6551,-1.15,177.978,-1.4938,-0.527294,177.627,8.54661,-7.80004,-8.20443,7.1779,10.0406,0.516907,-1.34399,1.15,25.2733,19.7837,5,70.4338,0,
412020115,46.0737,39.2504,-1.29,177.978,-1.4938,-0.439403,177.627,11.1518,-10.4363,-10.8019,9.72089,13.6917,-0.305054,-0.711731,1.36,25.2733,20.7976,5,70.4338,0,
412050980,46.0712,42.1042,-1.53,177.978,-1.4938,-0.439403,177.627,14.107,-13.306,-13.6326,12.4816,9.88846,-0.684998,-0.640686,1.53,25.2733,21.379,-686.46,-2063.91,18.4887,
412097587,46.0831,45.8347,-1.74,177.978,-1.4938,-0.351512,177.627,17.8709,-17.0621,-17.3732,16.1445,15.8215,0.153076,-1.23761,1.74,25.2733,21.9535,133.632,423.255,17.0566,
