time,x,y,heading, flSteer, frSteer, blSteer, brSteer, flDrive, frDrive, blDrive, brDrive, rawGyro, rawAccelX, rawAccelY, yaw, pivot pos, ext pos
285612388,46.4,19.5,0,172.969,174.903,2.54888,1.93357,-8.24331,-8.57771,8.7488,8.73325,-0.15213,-0.0454102,0.0492554,0,23.9014,-0.0588286
285663822,46.4,19.5,0,172.969,174.903,2.54888,1.93357,-8.24331,-8.57771,8.7488,8.73325,0.15213,-0.0549316,0.055481,0,24.0086,-0.0536379
285709689,46.4,19.5,0,173.057,174.815,2.46099,2.02147,-8.24331,-8.57771,8.7488,8.73325,-0.30426,0.00750732,0.0419312,0,24.9303,0.0968942
285743865,46.4,19.5,0.04,172.969,174.903,2.46099,1.93357,-8.24331,-8.57771,8.7488,8.73325,-1.5213,-0.0615234,-0.0499878,-0.04,25.1018,0.301064
285765900,46.4,19.5,0.04,172.969,174.991,2.46099,1.93357,-8.24331,-8.57771,8.7488,8.73325,2.12982,-0.0439453,-0.0975952,-0.03,25.1018,0.527727
285810114,46.4,19.5,0.03,172.969,174.991,2.54888,2.02147,-8.24331,-8.57771,8.7488,8.73325,0.912781,0.121948,0.18457,-0.02,25.1447,1.19041
285836015,46.4,19.5,0.03,172.969,174.903,2.46099,1.93357,-8.24331,-8.57771,8.7488,8.73325,1.82556,0.169922,0.21698,-0.02,25.4019,1.63682
285888997,46.4,19.5,0.02,172.969,174.903,2.46099,1.93357,-8.24331,-8.57771,8.7488,8.73325,8.21503,0.0131836,0.108398,0.01,25.5734,3.04179
285920289,46.3999,19.4981,-0.06,172.969,174.903,2.46099,2.02147,-8.24331,-8.57771,8.75658,8.73325,1.5213,0.0393677,-0.0115356,0.07,25.5734,3.97785
285956074,46.4019,19.5039,-0.06,174.814,174.991,2.46099,2.02147,-8.23554,-8.63993,8.67881,8.73325,-3.0426,-0.328857,0.0732422,0.04,25.5734,4.85855
285994949,46.4063,19.5118,-0.03,179.736,174.991,2.46099,2.02147,-8.23554,-8.76435,8.53883,8.71769,-3.80325,0.0946655,0.196289,0.01,25.5734,5.61813
286047161,46.4104,19.6808,0,-179.121,179.737,2.46099,1.93357,-8.18888,-8.57771,8.35996,8.45328,0.15213,-0.345337,0.132385,0,25.5734,6.81374
286084787,46.412,19.8208,0,-179.297,-179.472,2.46099,1.93357,-7.98668,-8.24331,8.36774,8.42218,-2.28195,0.147583,0.022522,0,25.4877,7.36915
286115730,46.4127,19.8772,0.01,-179.385,-179.472,2.46099,1.93357,-7.80782,-8.21998,8.36774,8.39885,-0.912781,0.311462,-0.0401001,-0.01,25.4662,7.87438
286150289,46.4135,19.9024,0,-179.385,-179.384,2.46099,2.02147,-7.80782,-8.18888,8.33663,8.35996,1.67343,0.261658,0.143555,0,25.4234,8.37789
286179804,46.4152,19.9607,0.02,-179.297,-179.384,2.54888,2.02147,-7.76116,-8.14999,8.23554,8.3133,-3.19473,0.261292,-0.013916,-0.02,25.4234,8.72567
286216785,46.4171,20.0424,0.04,-179.385,-179.384,2.54888,2.02147,-7.7145,-8.02557,8.1811,8.21221,-2.12982,-0.309082,-0.0122681,-0.05,25.4234,9.45584
286239369,46.4192,20.1395,0.06,-179.297,-179.384,2.46099,1.93357,-7.59007,-7.92447,8.10333,8.12666,-2.28195,0.328308,-0.100708,-0.06,25.4234,9.83995
286285263,46.4222,20.2523,0.06,-179.297,-179.384,2.46099,2.02147,-7.52786,-7.80004,7.98668,7.97891,-3.95538,-0.541626,-0.474609,-0.07,25.4234,10.4334
286307602,46.4267,20.4505,0.11,-179.385,-179.384,2.46099,1.93357,-7.31011,-7.6134,7.77671,7.80004,-4.41177,-0.270813,-0.518555,-0.13,25.4234,11.0356
286360652,46.4354,20.8431,0.21,-179.385,-179.384,2.72466,2.02147,-6.97571,-7.17013,7.43454,7.34899,-5.02029,-0.358521,-0.062439,-0.25,25.4234,11.8401
