time,x,y,heading, flSteer, frSteer, blSteer, brSteer, flDrive, frDrive, blDrive, brDrive, rawGyro, rawAccelX, rawAccelY, yaw, pigeon yaw, pigeon raw
367391405,47.5636,83.9807,-5.53,170.947,-7.73403,178.154,177.187,49.942,-48.9933,49.7476,47.889,-9.43207,-0.451172,-0.824524,5.44,0,0
367440651,47.5584,89.2243,-5.26,170.947,-7.73403,178.154,177.187,55.0436,-54.2426,54.9658,53.3249,-15.8215,-0.713196,-0.856567,5.18,0,0
367488908,47.5277,94.4779,-4.99,171.035,-7.64614,178.154,177.187,60.184,-59.6551,60.0595,58.7219,-12.7789,-0.837158,-0.40686,4.9,0,0
367518941,47.4613,98.2205,-4.84,171.035,-7.73403,178.154,177.187,64.5934,-64.0023,63.0536,61.9648,-9.5842,-0.424988,0.576965,4.78,0,0
367572462,47.4409,103.154,-4.69,171.123,-7.64614,178.242,177.187,68.9561,-68.3573,68.4662,67.5952,-10.8012,-0.398254,-0.231812,4.62,0,0
367629470,47.3557,108.657,-4.43,171.123,-7.73403,178.154,177.187,74.3298,-74.0032,73.801,73.2877,-14.3002,0.462158,-0.419678,4.35,0,0
367677551,47.2432,114.185,-4.21,171.035,-7.73403,178.154,177.187,79.9213,-79.5791,79.0658,79.0036,-7.45438,0.474243,-0.411438,4.1,0,0
367730886,47.0543,120.391,-3.93,171.035,-7.73403,178.154,177.187,86.8036,-86.5004,84.5017,84.6339,-10.9534,0.160217,0.0250854,3.88,0,0
367781260,46.9014,126.773,-3.69,171.035,-7.73403,178.154,177.1,92.4884,-92.3251,91.4463,91.7496,-13.0832,-0.419861,-0.268982,3.69,0,0
367821580,46.752,131.107,-3.51,171.035,-7.64614,178.154,177.187,97.0378,-97.0378,95.9568,95.3502,-17.0386,-0.649658,0.347168,3.4,0,0
367858969,46.5874,135.981,-3.22,170.947,-7.73403,178.154,177.363,101.548,-101.704,100.444,101.222,-13.5396,-0.236938,-0.352661,3.14,0,0
367914702,46.4161,141.838,-2.95,171.738,-7.73403,178.418,179.033,107.357,-107.614,106.168,107.256,-17.3428,-0.186218,0.0653687,2.86,0,0
367963884,46.3033,148.173,-2.44,174.727,-7.38247,-179.824,179.736,114.069,-114.644,111.915,113.151,-23.5802,-0.382141,0.46106,2.44,0,0
368000811,46.3538,152.297,-2.1,175.781,-3.42739,-179.297,-179.736,117.646,-118.268,116.386,117.988,-35.4463,-0.440552,0.0562134,1.9,0,0
368034721,46.4724,156.912,-1.52,176.924,-1.05434,-178.242,-177.891,122.141,-123.004,120.827,122.794,-33.1644,-0.598755,-0.069397,1.52,0,0
368085162,46.7117,161.577,-0.92,179.561,-0.527,-175.518,-175.605,126.597,-127.748,125.438,127.686,-37.2719,-0.861877,0.20636,0.69,0,0
368129435,47.0155,166.996,-0.48,-178.418,-0.351219,-174.727,-175.078,132.227,-133.596,131.069,132.305,-35.1421,-0.128906,0.331238,0.03,0,0
368181749,47.5456,172.952,0.38,-174.551,4.04331,-174.023,-173.76,137.757,-139.366,136.621,139.374,-22.3631,-1.24658,-0.350098,-0.54,0,0
368222852,48.0454,177.536,0.77,-172.529,7.47105,-173.672,-173.32,142.337,-144.064,141.108,144.056,-2.43408,-0.614685,-0.0877075,-0.82,0,0
368273092,48.9036,183.09,0.79,-169.893,10.5472,-172.002,-170.332,147.859,-149.709,146.801,149.678,6.5416,-0.992798,-0.193909,-0.76,0,0
368318079,50.0078,188.586,0.44,-166.289,13.7992,-170.771,-169.541,153.512,-155.309,152.478,155.184,22.8195,-0.855286,0.193176,-0.44,0,0
368367614,51.3118,194.212,-0.04,-165.147,17.139,-170.771,-169.541,160.247,-160.737,158.038,160.597,35.1421,-0.966614,-0.0254517,0.24,0,0
368417914,52.2762,198.172,-0.73,-164.971,17.4906,-170.771,-169.365,163.614,-165.03,162.51,164.796,47.921,-0.506104,0.0776367,1.01,0,0
368472419,54.0012,204.276,-1.64,-163.828,17.7542,-169.629,-167.783,170.333,-171.243,169.081,170.699,58.8744,-0.619263,0.290955,1.99,0,0
368526027,55.5732,209.32,-3.08,-163.828,17.93,-169.277,-167.871,175.909,-176.337,174.502,175.769,71.0448,-0.773438,-0.0292969,3.5,0,0
368578623,57.473,214.73,-4.74,-163.828,17.93,-168.662,-167.871,182.418,-182.356,179.984,180.723,71.8054,-0.481567,0.347717,5.18,0,0
368612921,58.653,218.027,-5.61,-163.828,18.0179,-168.662,-167.783,185.63,-185.303,184.083,184.487,67.2415,-0.446411,0.297913,6.02,0,0
368662052,60.4974,222.646,-6.84,-163.828,18.0179,-167.256,-167.256,190.817,-190.179,189.083,189.332,63.5904,-0.530457,0.387451,7.24,0,0
368724062,62.8581,227.916,-8.24,-163.828,17.8421,-164.883,-165.586,196.751,-195.864,195.032,194.869,39.8581,-0.58136,0.592712,8.49,0,0
368767525,65.0485,232.699,-9.13,-164.18,16.1722,-164.795,-165.498,202.723,-201.37,199.916,199.55,33.4686,-0.540161,0.312195,9.13,0,0
368817112,66.3752,235.702,-9.52,-165.059,12.1293,-164.707,-165.586,205.647,-204.069,203.703,203.275,29.8175,-0.316223,0.0265503,9.7,0,0
368850683,67.7452,239.067,-9.98,-169.102,8.17417,-164.707,-165.586,209.388,-207.7,207.35,206.806,8.67142,0.383972,0.603882,10.05,0,0
368906903,69.3441,243.15,-10.12,-172.969,7.03159,-163.301,-165.498,213.844,-212.133,211.651,211.208,-4.10751,0.356506,0.967529,10.11,0,0
368955433,70.9173,247.315,-9.91,-173.672,6.50425,-163.125,-165.498,218.883,-216.527,215.796,215.5,-20.994,-0.110229,0.143372,9.79,0,0
368993117,71.982,250.146,-9.68,-173.584,5.01011,-163.125,-165.41,221.294,-219.863,218.946,218.751,-15.6694,0.0635376,1.11823,9.58,0,0
369032828,73.3159,253.754,-9.36,-173.584,4.74644,-161.455,-165.41,225.066,-223.923,222.554,222.772,-20.8418,-1.29126,0.299377,9.23,0,0
369093451,74.4124,256.887,-8.81,-173.672,4.74644,-160.928,-165.41,228.643,-227.757,225.346,225.913,-29.0569,0.537781,0.665405,8.64,0,0
369136419,75.5267,260.076,-8.24,-173.672,4.74644,-160.928,-165.322,231.995,-231.342,228.503,229.405,-34.9899,0.670532,0.867737,8.03,0,0
369195465,76.6496,263.329,-7.34,-173.145,4.74644,-160.84,-165.234,235.176,-234.639,232.119,233.146,-34.2293,-0.656982,0.784058,7.13,0,0
369247427,77.6525,266.257,-6.69,-170.684,7.47105,-160.84,-164.707,238.543,-238.278,234.818,235.86,-31.4909,0.24115,0.793579,6.48,0,0
369299996,78.6313,268.588,-6.06,-163.213,15.9085,-161.191,-164.531,241.062,-241.062,237.221,238.271,-5.32455,-0.198669,0.719421,6.02,0,0
369358656,79.7318,270.666,-6.26,-155.391,30.6742,-163.828,-164.707,243.372,-243.427,239.81,240.471,39.0974,-0.103271,0.912415,6.48,0,0
369421849,80.8966,272.405,-7.09,-147.92,49.0433,-174.287,-164.795,245.938,-245.814,242.245,241.832,69.3713,0.453918,1.23871,7.82,0,0
369467496,81.7974,273.341,-8.7,-137.549,81.9144,169.365,-164.795,248.132,-247.61,244.259,242.245,81.5417,0.347717,1.74939,9.17,0,0
369515491,82.2506,273.764,-10.68,-132.012,101.953,153.106,-164.707,249.485,-248.559,245.433,242.493,89.7568,0.335266,1.9585,10.68,0,0
369560612,82.5016,273.944,-12.07,-131.66,111.27,147.393,-164.707,250.332,-249.065,245.977,242.571,70.132,-0.416565,1.39014,12.07,0,0
369594069,82.6223,273.964,-12.76,-131.309,111.446,146.865,-164.707,250.581,-249.469,246.18,242.571,46.3997,-0.50885,0.452637,12.76,0,0
369639319,82.7358,273.95,-13.45,-131.221,111.182,146.777,-164.795,250.807,-249.788,246.203,242.571,28.6005,-0.389282,-0.0697632,13.45,0,0
369688576,82.8323,273.924,-13.8,-131.221,111.182,146.777,-164.795,250.993,-250.076,246.203,242.54,9.27994,0.735352,-0.312744,13.84,0,0
369734086,82.8617,273.932,-13.87,-131.221,111.27,146.777,-164.883,251.071,-250.153,246.25,242.54,-6.69373,0.0596924,0.158203,13.84,0,0
369771265,82.8599,273.932,-13.7,-131.221,111.182,146.777,-164.883,251.063,-250.153,246.25,242.54,-13.0832,-0.0708618,0.506287,13.7,0,0
369821796,82.853,273.928,-13.41,-131.133,111.27,146.777,-164.883,251.032,-250.153,246.25,242.54,-20.3854,-0.140808,0.206909,13.41,0,0
369851952,82.853,273.928,-13.16,-131.133,111.27,146.69,-164.883,251.032,-250.153,246.25,242.54,-18.5599,-0.186035,-0.0994263,13.05,0,0
369889420,82.8513,273.927,-12.94,-131.133,111.27,146.69,-164.883,251.024,-250.153,246.25,242.54,-14.9088,-0.0426636,-0.13916,12.85,0,0
369944387,82.8513,273.927,-12.74,-131.133,111.182,146.69,-164.883,251.024,-250.153,246.25,242.54,2.73834,-0.208374,-0.0340576,12.74,0,0
370019025,82.8496,273.926,-12.86,-131.133,111.27,146.69,-164.883,251.017,-250.153,246.25,242.54,2.89047,-0.192444,0.203247,12.88,0,0
370074463,82.8477,273.932,-12.9,-131.397,111.182,147.481,-164.883,251.017,-250.153,246.273,242.54,2.12982,-0.166809,-0.119568,12.92,0,0
370126750,82.8965,273.98,-12.98,-135.967,89.5609,165.147,-164.883,251.234,-250.169,246.351,242.54,9.88846,0.0472412,0.0336914,13.03,0,0
370174059,82.7093,273.819,-13.15,-140.449,76.1136,175.869,-164.883,250.776,-249.842,245.985,242.54,5.78094,-0.598389,0.44751,13.19,0,0
370226797,82.5641,273.76,-13.04,-140.713,74.971,174.111,-164.883,250.643,-249.384,245.845,242.54,-13.6917,-0.187134,0.200867,13.04,0,0
370269798,82.5201,273.706,-12.96,-140.977,74.971,169.629,-166.201,250.527,-249.306,245.705,242.54,-8.21503,-0.332886,-0.0490723,12.92,0,0
370328682,82.477,273.691,-12.76,-143.35,74.0921,165.85,177.012,250.441,-249.181,245.62,242.626,-11.4098,0.0247192,0.105286,12.69,0,0
370386067,82.3966,273.565,-12.38,-146.338,68.0277,165.498,147.041,250.216,-248.956,245.464,242.462,-19.4727,-0.090271,0.490173,12.26,0,0
370437561,82.2598,273.394,-11.78,-148.887,62.139,165.498,138.164,249.835,-248.637,245.153,242.455,-38.4889,-1.52875,0.366577,11.43,0,0
370498836,82.0822,273.059,-10.89,-150.732,55.6351,165.498,146.074,249.22,-248.163,244.686,242.221,-49.5944,-0.235107,0.927246,10.27,0,0
370559788,81.8639,272.515,-9.73,-152.754,47.5492,166.553,156.797,248.411,-247.54,243.831,241.871,-47.0082,0.0177612,0.236938,9.15,0,0
370597659,81.7161,272.076,-8.86,-153.633,41.5726,167.783,163.213,247.774,-247.136,243.24,241.482,-52.4849,-0.0413818,0.399536,8.56,0,0
370654150,81.4432,271.356,-7.86,-155.742,34.805,173.32,168.926,246.654,-246.39,242.353,240.985,-62.0691,0.574585,0.454834,7.1,0,0
370718693,81.1634,270.438,-5.82,-156.621,30.4105,176.221,175.166,245.487,-245.557,241.039,240.316,-74.6959,0.356689,0.824158,5.34,0,0
370787331,80.6519,268.866,-4.05,-156.621,29.18,-179.824,179.297,243.287,-244.057,239.126,239.142,-69.0671,0.00146484,0.592163,3.3,0,0
