time,x,y,heading, flSteer, frSteer, blSteer, brSteer, flDrive, frDrive, blDrive, brDrive, rawGyro, rawAccelX, rawAccelY, yaw, pigeon yaw, pigeon raw
148604687,46.4,19.5,0,177.1,-0.702781,-1.93354,178.77,-11.1129,12.6994,10.9963,-12.8549,0.15213,-0.0454102,0.0245361,0,0,0
148655590,46.4,19.5,0,177.012,-0.702781,-1.93354,178.77,-11.1129,12.6994,10.9963,-12.8549,0.15213,-0.0518188,0.0366211,0,0,0
148681412,46.4,19.5,0,177.187,-0.790672,-1.93354,178.77,-11.1129,12.6994,10.9963,-12.8549,-0.15213,-0.00695801,0.112244,0,0,0
148743154,46.4,19.5,0.05,177.1,-0.790672,-1.93354,178.77,-11.1129,12.6994,10.9963,-12.8549,-0.30426,0.0227051,0.25946,-0.07,0,0
148787204,46.4,19.5,0.03,177.1,-0.790672,-1.93354,178.77,-11.1129,12.6994,10.9963,-12.8549,1.06491,-0.125427,-0.144104,-0.02,0,0
148837317,46.4,19.5,0.01,177.012,-0.702781,-1.93354,178.77,-11.1129,12.6994,10.9963,-12.8549,0.30426,0.0891724,-0.0150146,-0.01,0,0
148887202,46.4,19.5,4.65902e-18,177.1,-0.702781,-1.93354,178.77,-11.1129,12.6994,10.9963,-12.8549,11.5619,-0.0267334,0.370056,0.04,0,0
148940385,46.3997,19.5155,-0.1,177.627,-0.702781,-1.93354,178.77,-11.1129,12.6683,10.9652,-12.8549,-3.34686,-0.166626,-0.143005,0.09,0,0
148995320,46.3991,19.535,-0.07,178.857,-0.702781,-2.02143,178.77,-11.1129,12.6683,10.9185,-12.8238,1.06491,-0.0820312,0.19043,0.07,0,0
149045982,46.3968,19.6438,-0.06,178.77,-0.702781,-1.93354,178.77,-10.9263,12.5827,10.8252,-12.7538,-1.06491,-0.0864258,0.105835,0.06,0,0
149098092,46.3927,19.8382,-0.03,178.77,-0.702781,-1.93354,178.77,-10.6541,12.4039,10.6774,-12.5749,1.21704,-0.0783691,-0.138062,0.02,0,0
149144028,46.3912,19.9023,-0.06,178.77,-0.790672,-1.93354,178.77,-10.5997,12.3494,10.5763,-12.5283,-0.45639,0.003479,-0.226685,0.06,0,0
149192985,46.387,20.0967,-0.02,178.77,-0.702781,-1.93354,178.77,-10.4052,12.1394,10.3897,-12.3416,-0.608521,0.134583,-0.551697,0.01,0,0
149243742,46.3805,20.396,6.21202e-18,178.77,-0.702781,-1.93354,178.77,-10.1253,11.805,10.1175,-12.0306,-2.43408,-0.0483398,-0.352112,0,0,0
149286555,46.3718,20.7848,6.21202e-18,178.77,-0.790672,-1.93354,178.77,-9.72089,11.4395,9.76755,-11.5951,-0.760651,-0.24884,-0.483765,0,0,0
149326127,46.3591,21.3329,6.21202e-18,178.77,-0.702781,-1.93354,178.77,-9.20763,10.9263,9.09875,-11.0974,2.12982,0.401001,-0.599487,0.03,0,0
149383160,46.3376,22.3572,-0.03,178.77,-0.702781,-1.93354,178.77,-8.12666,9.83754,8.25887,-10.0086,-1.36917,0.0316772,-0.299927,0.03,0,0
149428871,46.3158,23.3368,-0.05,178.77,-0.702781,-1.93354,178.682,-7.17013,8.90433,7.16235,-9.07542,3.49899,-0.42865,-0.887146,0.05,0,0
149476542,46.2889,24.6216,-0.08,178.77,-0.790672,-1.93354,178.682,-5.70033,7.47342,6.05806,-7.94002,1.82556,0.469666,-0.981445,0.09,0,0
149520843,46.2519,26.3903,-0.13,178.77,-0.790672,-1.84565,178.594,-3.9739,5.70033,4.09833,-6.32247,4.5639,-0.292236,-0.602234,0.15,0,0
149564904,46.2226,27.9473,-0.21,178.77,-0.790672,-1.84565,178.594,-2.41078,4.12166,2.93182,-4.40162,3.34686,0.637756,-0.977051,0.23,0,0
149610950,46.1851,30.0408,-0.26,178.857,-0.790672,-1.84565,178.594,-0.116651,1.91307,0.785448,-2.67519,5.62881,1.02228,-0.387451,0.33,0,0
149663521,46.1486,32.4979,-0.42,178.77,-0.702781,-1.75776,178.594,2.42633,-0.552146,-1.68755,-0.326622,6.23734,-0.596924,-0.217346,0.46,0,0
149708736,46.1129,34.9376,-0.51,178.77,-0.790672,-1.75776,178.506,4.72046,-2.72185,-4.35496,2.30191,4.41177,-0.363464,-0.880737,0.54,0,0
149765648,46.0703,38.5418,-0.64,178.857,-0.878562,-1.75776,178.506,8.38329,-6.33024,-7.97113,5.83253,6.38947,-0.64801,-0.836792,0.67,0,0
149816042,46.0412,41.5803,-0.74,178.77,-0.790672,-1.75776,178.506,11.6728,-9.57313,-10.4752,8.95099,6.69373,-0.58429,-0.678772,0.79,0,0
149863090,46.0172,44.4614,-0.84,178.77,-0.790672,-1.66987,178.506,14.5036,-12.2639,-13.7881,11.6417,9.43207,-0.0719604,-0.356506,0.88,0,0
