time,x,y,heading, flSteer, frSteer, blSteer, brSteer, flDrive, frDrive, blDrive, brDrive, rawGyro, rawAccelX, rawAccelY, yaw, pivot pos, ext pos, cube x, cube y, cube deg
391680333,46.8971,37.6026,-1.51,-0.878925,1.84605,179.561,2.28514,-2.48077,-2.41856,1.69532,-1.18206,14.3002,0.1474,-0.61084,1.51,25.2733,19.2058,21.8086,60.9079,16.4553,
391717757,46.9823,39.8809,-1.66,-0.878925,1.75816,179.561,2.28514,-5.12485,-4.37829,4.28497,-3.11068,14.6045,-0.0527344,-0.246826,1.66,25.2733,19.7837,88.2247,227.368,20.4349,
391775718,47.114,43.175,-1.88,-0.791034,0.527687,179.561,2.19725,-8.00224,-7.80782,7.80004,-6.478,16.2779,-0.380127,-1.01715,1.96,25.2733,20.9984,63.575,168.965,19.5487,
391817778,47.2882,47.3347,-2.11,-0.791034,0.00034375,179.473,2.37303,-12.6994,-11.634,11.5173,-10.8952,13.996,-0.132568,-0.70459,2.11,25.2733,21.6057,85.9277,244.879,18.5707,
391855921,47.3967,50.12,-2.23,-0.878925,-0.351219,179.473,2.10936,-15.0946,-14.8224,14.7446,-13.236,2.43408,0.119385,-0.273926,2.26,25.2733,22.3272,47.6533,149.586,16.3294,
391907257,47.5286,53.902,-2.36,-1.66994,-1.05434,179.473,1.6699,-19.3796,-18.1353,18.1275,-17.3965,4.41177,0.0910034,-0.76062,2.4,25.2733,22.9207,48.3105,160.325,15.4856,
391938070,47.603,56.3325,-2.43,-1.84572,-1.23012,179.473,1.75779,-22.047,-20.8183,20.7794,-19.1229,4.86816,-0.097229,-0.91571,2.44,25.3162,23.239,43.5804,144.057,15.4009,
391971961,47.7128,59.9458,-2.49,-2.37307,-1.4938,179.385,1.6699,-25.7876,-24.5277,24.3411,-22.5758,-4.5639,0.0325928,-1.01422,2.49,25.3162,23.4328,43.017,149.586,14.6349,
392020340,47.8594,64.6405,-2.54,-2.72463,-2.10903,179.385,1.58201,-29.5748,-29.2093,29.0149,-28.2295,3.65112,-0.812073,-0.336365,2.57,25.3162,23.5349,5,70.4338,0,
392048561,47.9014,67.1083,-2.51,-2.81252,-2.72427,179.385,1.14256,-32.5455,-32.1256,30.9513,-30.2825,-1.97769,0.597656,-0.619446,2.5,25.3376,23.5574,5,70.4338,0,
392081210,47.9848,71.1225,-2.47,-2.81252,-2.63638,179.297,1.14256,-36.5894,-36.2317,34.9641,-34.1864,-13.3875,0.076355,-0.796326,2.43,25.3376,23.5574,5,70.4338,0,
392125261,48.0571,75.2571,-2.36,-3.25197,-2.72427,179.297,1.23045,-40.7033,-40.4389,38.9769,-38.4014,1.21704,0.245544,-0.341492,2.31,25.3376,23.5574,5,70.4338,0,
392155847,48.1234,79.1876,-2.26,-3.33986,-2.72427,179.297,1.23045,-44.9183,-43.5962,43.0985,-42.6397,-7.60651,0.385986,-0.622192,2.22,25.3376,23.5574,19.6433,35.6031,24.8606,
392183380,48.1578,81.0568,-2.15,-3.33986,-2.63638,179.385,1.14256,-46.0226,-45.7504,45.1749,-44.7861,-8.36716,0.0179443,-0.967346,2.09,25.3376,23.5574,20.8735,36.5257,26.0138,
392215532,48.1842,84.883,-2.04,-3.42775,-2.63638,179.297,1.14256,-50.4164,-50.1676,48.3789,-48.0834,-10.9534,-0.13147,-0.60791,1.96,25.3376,23.5574,19.7468,33.3736,26.6586,
392252390,48.2151,89.2863,-1.81,-3.33986,-2.72427,179.297,1.14256,-54.7947,-54.6236,52.7572,-52.4928,-7.45438,0.174133,-0.367859,1.81,25.3376,23.5574,5,70.4338,0,
392289348,48.2317,93.5014,-1.71,-3.42775,-2.72427,179.297,0.615216,-59.3285,-58.0065,57.151,-57.0499,0.912781,0.0422974,-0.553894,1.67,25.3591,23.5574,20.525,34.904,26.6731,
392318049,48.2342,96.8985,-1.64,-3.51564,-2.72427,179.297,0.615216,-62.7892,-61.4127,60.495,-60.4328,3.0426,0.0882568,-0.334717,1.6,25.3591,23.5574,5,70.4338,0,
392364335,48.2351,101.454,-1.55,-3.33986,-2.72427,179.209,0.703106,-67.3852,-65.9465,64.9977,-65.0289,-3.34686,-0.291138,-0.83075,1.52,25.3805,23.5574,19.0693,32.1402,26.5638,
392408490,48.214,106.408,-1.42,-3.51564,-2.72427,179.209,0.615216,-72.0279,-71.7713,69.656,-69.726,-13.3875,0.334167,0.724548,1.39,25.3805,23.5574,5,70.4338,0,
392445219,48.1984,110.728,-1.3,-3.51564,-2.72427,179.297,0.615216,-76.6473,-75.2552,74.1976,-74.3687,-8.21503,-0.410156,-0.938416,1.3,25.3805,23.5574,19.9908,34.7671,25.9769,
392467292,48.1774,114.239,-1.26,-3.51564,-2.72427,179.209,0.615216,-80.1468,-78.8014,77.6582,-77.9149,-11.2576,0.0917358,0.0349731,1.2,25.3805,23.5574,18.9478,32.5799,26.0138,
392496155,48.1525,117.708,-1.19,-3.51564,-2.72427,179.209,0.703106,-83.6463,-82.3243,81.1033,-81.3288,3.34686,0.524414,0.388184,1.19,25.3805,23.5574,20.8076,35.3673,26.7459,
392531908,48.1127,121.54,-1.06,-3.51564,-2.63638,179.209,0.615216,-87.2003,-87.0214,84.564,-84.9528,0.912781,-0.0975952,-0.611755,1.06,25.4019,23.5574,89.659,652.4,7.4388,
392560766,48.0924,124.22,-1.03,-3.51564,-2.63638,179.209,0.703106,-89.5333,-89.4088,88.1957,-87.3247,-10.9534,-0.333618,-0.456482,1.05,25.4019,23.5574,5,70.4338,0,
392587397,48.043,128.017,-1,-3.51564,-2.72427,179.209,0.615216,-94.176,-92.9472,91.6563,-90.8786,-3.0426,-0.25708,-0.266235,0.91,25.4019,23.5574,19.2913,34.9498,24.7855,
392616464,48.0104,131.785,-0.85,-3.51564,-2.63638,179.209,0.790997,-97.6366,-96.4157,95.0858,-95.5991,-0.760651,0.45813,0.941528,0.85,25.4019,23.5574,165.026,652.4,13.8636,
392651300,47.9502,135.577,-0.76,-3.51564,-2.63638,179.209,0.615216,-101.167,-101.097,98.5387,-99.1064,-7.91077,-0.0970459,-0.110779,0.68,25.4448,23.5574,163.994,652.4,13.7776,
392687695,47.8787,139.641,-0.64,-3.51564,-2.72427,179.209,0.703106,-105.755,-104.573,103.213,-102.637,-6.69373,0.635193,0.50116,0.64,25.5091,23.5574,1912.59,8098.8,13.2601,
392739025,47.7938,145.125,-0.56,-3.51564,-2.63638,179.209,0.703106,-110.328,-110.352,108.967,-108.477,-6.5416,-0.0146484,-0.0280151,0.47,25.5091,23.5574,271.672,1167.05,12.9139,
392764538,47.7266,148.582,-0.46,-3.51564,-2.63638,179.209,0.615216,-113.75,-113.828,112.412,-111.969,1.5213,-0.297729,-0.935486,0.46,25.5091,23.5574,253.806,1089.13,12.9139,
392811327,47.6157,154.26,-0.32,-2.81252,-2.72427,179.209,0.615216,-119.489,-119.528,118.074,-117.592,4.41177,0.0657349,-0.579163,0.32,25.5305,23.5574,405.956,1815.62,12.4798,
392845944,47.5709,157.955,-0.29,-1.75783,-2.63638,179.297,0.615216,-122.872,-122.958,121.464,-122.172,-5.62881,0.488525,-0.628418,0.26,25.5305,23.5574,280.312,1256.94,12.3928,
392878213,47.5773,161.331,-0.26,-0.966816,-0.439109,-179.824,0.615216,-126.232,-126.333,124.855,-125.555,1.21704,-0.699829,0.238403,0.26,25.552,23.5574,274.327,1256.94,12.1315,
392925252,47.8707,166.346,-0.2,2.72459,3.69175,-176.396,2.54881,-131.839,-131.932,129.272,-130.027,-3.34686,-0.522766,0.409058,0.2,25.552,23.5574,3364.67,15988.8,11.8696,
392951797,48.0672,169.394,-0.18,3.33983,3.86753,-176.045,2.98826,-135.128,-134.172,132.608,-133.378,-5.02029,-0.708252,-0.0098877,0.13,25.552,23.5574,21.0073,37.2336,25.7183,
392977915,48.3275,172.937,-0.06,4.65818,4.65855,-175.957,3.07615,-138.379,-138.488,135.914,-136.715,-5.93307,-0.669617,0.387451,0.06,25.552,23.5574,-5300.36,-25949.8,11.553,
393025579,48.8043,177.259,-0.01,7.20701,6.76792,-174.287,5.4492,-142.757,-142.796,140.253,-141.085,-3.34686,0.0756226,0.401917,-0.03,25.552,23.5574,5,70.4338,0,
393054866,49.2057,180.489,-0.01,7.99803,7.55894,-173.76,6.50389,-146.031,-146.016,143.496,-144.367,9.12781,-0.74231,0.180542,0.1,25.552,23.5574,-1131.41,-5528.6,11.6073,
393079134,49.6456,183.655,-0.18,8.96483,9.14097,-173.76,6.59178,-149.266,-149.157,146.708,-147.571,13.996,-0.972656,0.472412,0.18,25.552,23.5574,166.2,837.245,10.9492,
393129578,50.4448,188.068,-0.53,11.4258,12.1293,-172.353,8.2617,-153.621,-153.271,151.996,-151.763,31.4909,-1.26709,0.140808,0.69,25.552,23.5574,-1587.16,-8328.75,10.8172,
393158388,51.1496,191.684,-0.82,11.8652,12.7445,-172.09,8.34959,-157.968,-156.351,155.145,-155.931,37.5761,-0.193542,0.236938,1.03,25.552,23.5574,110.06,603.833,9.93456,
393194510,51.8891,195.215,-1.47,12.1289,12.6566,-172.178,8.96482,-161.165,-160.356,159.329,-158.987,37.7283,-0.590881,0.5354,1.47,25.552,23.5574,420.425,2333.48,10.1115,
393234355,52.7037,198.647,-1.92,13.2715,13.2718,-171.123,10.1074,-165.31,-163.319,162.378,-162.945,40.3145,-0.631897,-0.0708618,2.17,25.552,23.5574,2601.11,15988.8,9.22494,
393266937,53.5795,202.015,-2.34,13.3594,14.4144,-169.717,10.8105,-168.42,-167.207,166.383,-165.869,38.4889,-0.470032,0.415466,2.56,25.552,23.5574,5,70.4338,0,
393307509,54.6998,206.109,-3.04,13.4472,14.4144,-169.541,11.0742,-172.55,-171.08,170.489,-170.745,39.5538,-0.608093,0.240601,3.04,25.552,23.5574,-458.885,-3306.64,7.97633,
393344644,55.6291,209.201,-3.75,13.2715,14.4144,-168.223,12.3926,-176.64,-173.965,173.53,-173.646,47.0082,-0.336731,0.791199,3.75,25.5949,23.5574,275.322,1922.32,8.02106,
393363932,56.4291,211.794,-3.99,13.3594,14.4144,-167.695,12.3047,-179.65,-176.835,176.586,-175.567,34.8378,0.0239868,0.11554,3.99,25.5949,23.5574,-646.895,-5528.6,6.72005,
393417013,57.7699,215.937,-4.56,13.3594,14.3265,-167.432,13.0957,-183.585,-181.602,180.536,-180.334,24.9493,-0.296448,0.435242,4.74,25.6163,23.5574,5,70.4338,0,
393445747,58.6662,218.655,-4.88,13.3594,14.4144,-167.432,13.1836,-186.478,-184.409,183.437,-183.18,26.7749,-0.317871,0.246277,5.02,25.6163,23.5574,5,70.4338,0,
393488268,60.0658,222.641,-5.31,13.3594,14.4144,-166.025,14.5898,-191.167,-188.173,188.165,-186.898,16.8864,-0.475525,0.461609,5.42,25.6163,23.5574,5,70.4338,0,
393521729,61.0144,225.227,-5.45,13.3594,14.4144,-164.004,15.0293,-193.951,-190.918,190.903,-189.651,12.6268,-0.37793,0.507019,5.51,25.6163,23.5574,5,70.4338,0,
393559507,62.2115,228.447,-5.63,13.3594,14.3265,-163.916,14.9414,-196.72,-194.566,194.589,-193.29,-3.34686,-0.200317,0.717773,5.63,25.6163,23.5574,453.624,5422.3,4.73318,
393583923,63.1436,230.966,-5.6,13.3594,14.4144,-163.916,14.9414,-199.418,-197.241,197.318,-195.934,6.08521,0.119202,0.561401,5.6,25.6163,23.5574,5,70.4338,0,
393641156,64.6665,235.093,-5.57,13.3594,14.3265,-163.828,14.9414,-203.929,-201.65,201.642,-200.289,1.82556,0.103821,0.800903,5.58,25.6163,23.5574,-194.444,-2359.36,4.82378,
393674260,66.0107,238.735,-5.53,13.7109,14.3265,-163.828,14.9414,-208.276,-205.15,205.056,-204.559,-11.714,0.013916,-0.123413,5.53,25.6163,23.5574,-190.681,-2359.36,4.73318,
393716041,66.9737,241.274,-5.49,15.2051,14.3265,-163.828,15.7324,-210.772,-208.509,207.545,-207.078,-8.21503,-0.328308,0.514893,5.42,25.6377,23.5574,-183.155,-2359.36,4.55192,
393742000,67.9501,243.742,-5.38,16.7871,15.4691,-163.916,16.5234,-213.292,-210.951,210.772,-209.505,0.15213,-0.0582275,0.402832,5.38,25.6377,23.5574,73.0974,859.35,4.55192,
393772529,68.8601,245.964,-5.46,17.2265,17.2269,-163.828,16.6113,-215.734,-213.354,213.16,-211.876,8.51929,0.0966797,0.884583,5.46,25.6377,23.5574,-279.657,-3306.64,4.91434,
393818405,69.9205,248.44,-5.71,17.9297,19.1605,-163.828,16.6113,-218.907,-215.726,215.399,-214.871,21.7546,-0.0921021,0.588501,5.81,25.6377,23.5574,5,70.4338,0,
393845038,70.95,250.812,-5.96,17.9297,19.1605,-163.828,16.6113,-221.224,-218.666,218.347,-217.009,29.209,0.258179,0.349182,5.96,25.6377,23.5574,5,70.4338,0,
393873914,71.8959,252.939,-6.16,18.5449,19.6,-163.828,16.6113,-224.218,-220.781,220.509,-219.054,16.1258,0.688843,1.11731,6.16,25.6377,23.5574,5,70.4338,0,
393903314,72.6786,254.658,-6.46,19.0722,20.391,-163.74,16.6113,-225.688,-222.834,222.585,-221.014,31.0345,-0.121948,0.881287,6.46,25.6377,23.5574,5,70.4338,0,
393957327,74.006,257.477,-6.99,19.0722,20.391,-163.74,16.6992,-229.156,-226.092,225.221,-224.117,22.211,0.162048,1.14587,7.14,25.6592,23.5574,5,70.4338,0,
394005093,75.2557,260.085,-7.62,18.9844,20.3031,-163.652,16.6992,-232.36,-228.488,228.348,-226.963,26.0143,-0.186401,0.944458,7.62,25.6592,23.5574,5,70.4338,0,
394033433,76.2078,262.022,-7.95,19.0722,20.3031,-163.74,16.6992,-234.818,-230.789,230.634,-228.558,30.2739,0.330505,1.15027,7.95,25.6806,23.5574,-15.6697,45.7406,-26.3444,
394071843,77.103,263.839,-8.23,19.0722,20.2152,-163.74,16.6992,-236.56,-232.897,232.835,-230.611,24.493,0.447876,0.574951,8.23,25.6806,23.5574,-15.7442,45.8909,-26.3444,
394107737,77.8297,265.29,-8.55,19.0722,20.391,-163.74,16.6992,-238.208,-234.398,234.289,-232.5,23.8844,0.104919,1.18286,8.7,25.6806,23.5574,5,70.4338,0,
394145446,78.5305,266.651,-8.97,19.1601,20.3031,-163.74,16.6992,-240.254,-235.829,235.658,-233.783,24.0366,0.507385,0.553345,8.97,25.702,23.5574,-15.357,46.1944,-25.7553,
394170188,79.0856,267.723,-9.1,19.0722,20.3031,-163.652,16.6992,-241.685,-237.135,236.933,-234.6,23.8844,0.193359,0.915344,9.24,25.7235,23.5574,-15.9465,48.5937,-25.1603,
394200598,79.7309,268.96,-9.34,19.0722,20.2152,-163.74,16.6992,-242.976,-238.799,238.092,-236.07,20.8418,0.00292969,0.855469,9.45,25.7235,23.5574,-16.105,48.9311,-25.1603,
394244067,80.4723,270.39,-9.7,18.8086,19.6878,-164.004,16.4355,-244.819,-240.184,239.764,-237.617,9.88846,0.374634,1.35699,9.7,25.7663,23.5574,-15.9172,50.8115,-24.0769,
394268276,80.7232,270.9,-9.76,17.5781,16.7875,-164.268,15.4687,-245.449,-240.806,240.3,-238.1,15.0609,0.619995,1.05176,9.86,25.7663,23.5574,-16.3197,52.3995,-23.7732,
394305316,81.1632,271.884,-9.98,15.0293,12.1293,-164.268,14.1504,-246.561,-242.151,241.241,-239.017,11.5619,0.40448,1.03436,9.98,25.7663,23.5574,-21.4942,61.8968,-24.5894,
394333870,81.359,272.327,-10.08,13.5351,11.3382,-164.268,13.7988,-247.035,-242.594,241.856,-239.422,6.84586,0.530273,1.20099,10.08,25.7663,23.5574,-16.5073,53.9864,-23.2804,
394356406,81.5816,272.843,-10.12,13.2715,11.1625,-164.18,13.7988,-247.704,-243.224,242.221,-240.005,10.0406,0.0606079,0.776917,10.12,25.7663,23.5574,-16.1517,54.1484,-22.8692,
394396178,81.8229,273.388,-10.22,13.1836,11.1625,-164.18,13.7988,-248.264,-243.745,242.874,-240.658,6.23734,0.109314,1.02924,10.22,25.7663,23.5574,-20.2948,61.9469,-23.5821,
394419640,81.9675,273.722,-10.24,13.0957,11.2503,-164.268,13.7988,-248.73,-244.165,243.154,-240.946,-0.15213,0.946289,0.684082,10.24,25.7663,23.5574,-20.4862,62.9249,-23.3895,
394448766,82.1324,274.095,-10.22,13.1836,11.2503,-164.355,13.7988,-249.127,-244.539,243.637,-241.327,-0.45639,0.183472,0.637939,10.2,25.7663,23.5574,-20.6772,63.5219,-23.3349,
394481533,82.2636,274.396,-10.16,13.0078,11.2503,-164.268,13.7988,-249.524,-244.85,243.932,-241.638,-4.10751,-0.329956,0.859314,10.16,25.7663,23.5574,-20.679,64.0423,-23.1556,
394511468,82.3602,274.617,-10.13,13.0078,11.1625,-164.18,13.8867,-249.78,-245.075,244.173,-241.879,2.28195,-0.0263672,0.379028,10.13,25.7663,23.5574,-20.4244,61.9894,-23.6741,
